"wk";"n"
202119;1281785
202120;1145425
202121;1014501
202122;928817
202123;892377
202124;865146
202125;841728
202126;812087
202127;788084
202128;767640
202129;750932
202130;740664
202131;731714
202132;725943
202133;719274
202134;710466
202135;699389
202136;689058
202137;679083
202138;672537
202139;666468
202140;661123
202141;654856
202142;648150
202143;642525
202144;633729
202145;621908
202146;605946
202147;586721
202148;543812
202149;506745
202150;472479
202151;450179
202152;422826
202201;409440
202202;386814
202203;370861
202204;361950
202205;352888
202206;348686
202207;344886
202208;342260
202209;339997
202210;338304
202211;336745
202212;335831
202213;335130
